日付,出勤,退勤,休憩時間,勤務時間,編集日,更新時間
11/01（火）,14:00,18:00,0:00,4:00:00,,18:12:00
11/02（火）,9:00,11:00,0:00,2:00:00,,11:12:00
11/03（金）,9:00,18:00,1:00,8:00:00,11/05（火）,9:12:00
11/04（火）,14:00,18:00,0:00,4:00:00,,18:12:00
11/05（火）,9:00,11:00,0:00,2:00:00,,11:12:00
11/06（金）,9:00,18:00,1:00,8:00:00,11/05（火）,9:12:00
11/07（火）,14:00,18:00,0:00,4:00:00,,18:12:00
11/08（火）,9:00,11:00,0:00,2:00:00,,11:12:00
11/09（金）,9:00,18:00,1:00,8:00:00,11/05（火）,9:12:00
11/10（火）,14:00,18:00,0:00,4:00:00,,18:12:00
11/11（火）,9:00,11:00,0:00,2:00:00,,11:12:00
11/12（金）,9:00,18:00,1:00,8:00:00,11/05（火）,9:12:00
11/13（火）,14:00,18:00,0:00,4:00:00,,18:12:00
11/14（火）,9:00,11:00,0:00,2:00:00,,11:12:00
11/15（金）,9:00,18:00,1:00,8:00:00,11/05（火）,9:12:00
11/16（火）,14:00,18:00,0:00,4:00:00,,18:12:00
11/17（火）,9:00,11:00,0:00,2:00:00,,11:12:00
11/18（金）,9:00,18:00,1:00,8:00:00,11/05（火）,9:12:00
